"questionId","topic","subtopic","difficultyLevel","qaStatus","score","issueType","severity","reason","suggestedFixDirection"
"sc-quiz-4-intermediate-q6","sentence_completion","sentence_completion-vocabulary-in-context","4","needs_review","88","too_easy_to_eliminate","needs_review","Option length distribution is extreme; elimination may be trivial.","Balance option lengths and keep all options similarly plausible."
"restatement-quiz-2-easy-q6","rephrasing","rephrasing-comparison","2","needs_review","88","duplicate_or_similar_options","needs_review","Options are overly similar (similarity=1.00).","Differentiate distractors with clearer semantic contrast."
"restatement-quiz-2-easy-q10","rephrasing","rephrasing-comparison","2","needs_review","88","duplicate_or_similar_options","needs_review","Options are overly similar (similarity=1.00).","Differentiate distractors with clearer semantic contrast."
"restatement-quiz-4-intermediate-q7","rephrasing","rephrasing-paraphrase","3","needs_review","88","duplicate_or_similar_options","needs_review","Options are overly similar (similarity=1.00).","Differentiate distractors with clearer semantic contrast."
"restatement-quiz-8-mixed-q4","rephrasing","rephrasing-paraphrase","2","needs_review","88","duplicate_or_similar_options","needs_review","Options are overly similar (similarity=1.00).","Differentiate distractors with clearer semantic contrast."
"reading-comp-quiz-7-mixed-q1","reading_comprehension","reading_comprehension-main-idea","1","needs_review","88","too_easy_to_eliminate","needs_review","Option length distribution is extreme; elimination may be trivial.","Balance option lengths and keep all options similarly plausible."
